id,name,party,sector,type
UVDL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
SW,Sahra Wagenknecht,Linke,Politik,1
CS,Constanze Stelzenmüller,,Jura,1
F1,Folge 1,,,2
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel,,Historiker,1
LM,Ljudmyla Melnyk,,Wissenschaft,1
KD,Kristina Dunz,,Journalismus,1
EL,Egil Levits,,Politik,1
F2,Folge 2,,,2
AB,Annalena Bärbock ,Grüne,Politik,1
FT,Frans Timmermans,,Politik,1
AM,Andrij Melnyk,,Politik,1
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,,Militär,1
F3,Folge 3,,,2
RH,Robert Habeck,Grüne,Politik,1
CM,Claudia Major,,Wissenschaft,1
KP,Katja Petrowskaja,,Literatur,1
RK,Roderich Kiesewetter,CDU,Politik,1
F4,Folge 4,,,2
CLA,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,,Politik,1
CH,Christoph Heusgen,,Militär,1
MW,Marina Weisband,,Literatur,1
F5,Folge 5,,,2